,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Saint Lucia,East,East,East,West,Northeast,East,Northwest,North,South,East,West,West,Northeast,East,Northwest,East,East,Southeast,Northeast,Northeast,West,East,North,East,South,West,East,Southeast,South,East,Northwest,East,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,Southwest,East,West,West,East,East,Northwest,West,East,Northeast,East,Northeast,East,North,Northwest,Southwest,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,North,South,West,West,Northeast,East,East,South,Northwest,West,East,East,Northeast,East,East,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,Northeast,Northeast,Northeast,East,East,East,East,East,East,East,West,East,East,West,West,East,Northeast,East,East,Northwest,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,West,West,South,Southwest,West,Southwest,Northeast,Northeast,Northwest,East,East,East,East,East,Northwest,Southeast,Northwest,#DIV/0!,Northwest,North,South,West,East,East,East,East,East,East,East,East,Northwest,Northeast,Northeast,West,East,Southeast,West,East,Northeast,East,East,Southeast,Northeast,Northeast,East,West,East,East,East,West,East,West,West,South,East,East,East,Northwest,West,Northwest,East,East,East,Northeast,Northwest,South,East,West,Southwest,East,West,East,East,East
Saint Martin,East,East,East,West,East,East,North,Southeast,South,East,Southwest,West,East,East,Northwest,East,East,Southeast,East,Northeast,West,East,North,East,South,Southwest,East,Southeast,South,East,West,East,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,Southwest,East,West,West,East,East,West,Southwest,East,East,East,Northeast,East,Southeast,West,Southwest,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,North,South,West,West,Northeast,East,East,South,West,West,East,East,Northeast,East,East,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,East,Northeast,Northeast,East,East,East,East,East,East,East,West,East,East,West,West,East,East,East,East,Southeast,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,Southwest,West,South,Southwest,West,Southwest,East,East,West,East,East,East,East,East,Southeast,Southeast,South,Southeast,#DIV/0!,North,South,West,East,East,East,East,East,East,East,East,South,East,East,West,East,Southeast,West,East,East,East,East,Southeast,Northeast,East,East,West,East,East,East,West,East,West,West,South,East,East,East,West,West,West,East,East,East,Northeast,Northwest,South,East,West,South,East,West,East,East,East
Saint Pierre and Miquelon,East,East,East,Southwest,East,Southeast,South,South,South,East,South,Southwest,East,East,Southwest,East,East,South,East,East,Southwest,Southeast,Southwest,East,South,South,East,Southeast,South,Southeast,South,East,East,Southeast,Southeast,East,Southeast,West,Southeast,Southwest,Southeast,Southeast,South,East,East,East,Southwest,Southeast,Southwest,Southwest,Southeast,East,Southwest,South,East,East,Southeast,East,East,South,Southwest,Southwest,East,Southwest,Southeast,East,East,Southeast,East,South,East,Southwest,East,East,Southwest,East,Southeast,Southeast,East,East,Southeast,East,East,Northeast,South,West,Southwest,East,Southeast,Southeast,South,Southwest,Southwest,East,East,Northeast,East,East,East,East,East,East,East,East,Southwest,West,East,East,East,Southeast,Southwest,East,East,East,East,East,East,Southeast,Southeast,East,East,East,East,East,Southeast,Southeast,East,East,Southeast,East,West,Southeast,Southeast,Southwest,West,East,East,East,East,South,East,Southeast,East,Southeast,West,East,East,Southwest,Southwest,Southwest,Southeast,Southeast,Southwest,Southwest,West,East,West,East,East,East,West,East,Southwest,West,South,South,East,Southwest,East,East,South,East,Southeast,East,East,Southeast,South,Southeast,South,South,South,#DIV/0!,South,Southwest,East,Southeast,East,Southeast,East,Southeast,Southeast,East,South,East,East,West,East,Southeast,West,Southeast,East,East,East,South,East,East,East,East,East,Southeast,East,West,Southeast,Southwest,Southwest,South,East,East,East,Southwest,Southwest,South,Southeast,East,East,East,West,South,East,Southwest,South,East,Southwest,East,Southeast,Southeast
Saint Vincent and the Grenadines,East,East,East,West,Northeast,East,North,North,South,East,West,West,Northeast,East,Northwest,East,East,East,Northeast,Northeast,West,East,North,East,South,West,East,East,South,East,Northwest,East,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,Southwest,East,West,West,East,Northeast,Northwest,West,East,Northeast,East,Northeast,East,North,Northwest,Southwest,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,North,Southwest,West,West,Northeast,East,East,South,Northwest,West,East,Northeast,Northeast,East,East,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,Northeast,Northeast,Northeast,East,East,East,East,East,East,East,West,East,East,West,West,East,Northeast,East,East,North,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,West,West,South,Southwest,West,Southwest,Northeast,Northeast,Northwest,East,East,East,East,East,North,Southeast,North,North,North,North,#DIV/0!,West,Northeast,East,East,East,East,East,East,East,North,Northeast,Northeast,West,East,Southeast,West,East,Northeast,East,East,Southeast,Northeast,Northeast,East,West,East,East,East,West,East,West,West,South,East,East,East,Northwest,West,Northwest,East,East,East,Northeast,Northwest,South,East,West,Southwest,East,West,East,East,East
Samoa,West,West,East,East,East,West,East,East,East,West,East,West,West,West,East,West,West,East,Northwest,East,East,East,Northeast,Northwest,East,East,West,West,East,West,East,West,West,East,West,West,West,Northeast,East,East,West,West,East,Northwest,West,West,East,West,Southeast,East,East,West,East,East,West,West,West,West,West,East,East,East,West,East,West,West,Northwest,West,West,East,Northeast,West,Northwest,East,East,West,West,East,West,West,East,East,West,Northeast,East,Northwest,East,East,East,East,East,East,East,Northwest,West,Northeast,West,West,West,West,East,East,West,West,East,Northwest,East,West,Northwest,West,North,West,West,Northwest,West,Northwest,West,West,East,West,West,Northwest,East,Northwest,West,West,West,West,East,West,Northwest,East,West,Northeast,Northwest,West,East,Northwest,West,East,East,West,West,West,Northwest,West,East,West,Southwest,East,West,West,Southeast,Southwest,Northwest,West,Northwest,West,West,West,West,West,East,West,East,East,West,East,West,East,East,West,West,West,Northwest,West,East,East,East,East,East,Northeast,East,#DIV/0!,West,East,West,East,West,West,East,West,East,West,West,West,West,West,Northwest,West,East,West,West,East,Northwest,West,West,Northwest,Northwest,West,West,West,East,North,Southwest,East,West,West,West,East,Northwest,East,West,West,West,East,Northeast,East,Northwest,West,East,West,West,West,West,West
San Marino,East,East,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,Northeast,East,West,Southeast,East,Southwest,Northeast,Northwest,West,South,West,East,Southwest,West,East,South,Southwest,Southeast,West,East,East,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,Southwest,Northeast,West,West,Southeast,Northeast,South,North,Southeast,West,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,North,South,Southwest,Southeast,Northwest,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,Northeast,Northwest,East,Southeast,East,East,Northwest,Northwest,Southeast,South,West,East,West,Southeast,East,Southeast,East,East,Southeast,East,East,Northeast,Southeast,South,Southwest,South,Northwest,Northeast,Northwest,East,Southeast,South,Southeast,Southeast,Southwest,South,East,Southwest,Southeast,West,East,East,West,East,East,West,Southwest,South,East,South,East,East,Northwest,Southeast,Southeast,West,South,South,East,Southeast,East,East,East,North,Southeast,East,East,Southeast,West,East,Southwest,Southwest,East,Southwest,Northeast,West,West,Southeast,South,East,East,South,West,South,West,West,West,West,Southwest,East,#DIV/0!,South,Southeast,Southwest,East,Southeast,Southwest,Southeast,West,Northeast,Northeast,East,Southeast,South,East,Southeast,West,Southeast,Southeast,Southwest,North,Northwest,East,East,East,Southeast,East,Southeast,South,East,East,Southwest,South,East,East,West,East,West,Southeast,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
Sao Tome and Principe,Northeast,North,North,West,North,Southeast,West,West,Southwest,Northeast,West,East,North,Northeast,West,Northeast,East,West,North,North,West,Northwest,Northwest,East,West,West,North,Southeast,West,East,West,East,Northeast,Northwest,East,East,Northeast,Northwest,Northwest,West,Northeast,Northeast,Southwest,East,East,East,West,East,West,West,Northwest,North,West,West,Northeast,North,East,North,East,West,West,West,Northeast,West,East,Northeast,North,Southeast,East,Southwest,North,East,North,North,West,Southeast,East,Northwest,Northeast,North,Northwest,North,North,Northwest,West,East,West,North,Northwest,Northwest,West,West,West,East,North,North,East,East,Northeast,Northeast,North,North,Northeast,North,West,East,North,Northeast,Northeast,East,West,North,Northeast,Northeast,East,North,Northeast,Southeast,West,North,North,North,North,East,Southeast,Southeast,East,East,Northwest,North,East,Northwest,East,West,East,Northeast,North,Northeast,North,West,Northwest,Southeast,East,Southeast,East,East,North,East,East,West,North,North,West,East,East,North,East,North,Northeast,Northeast,East,Northeast,West,East,West,West,East,West,North,North,West,Northeast,East,North,Northeast,East,West,Southwest,West,West,West,Northwest,West,West,North,#DIV/0!,Northeast,Northwest,North,East,Northwest,East,West,North,North,East,East,Southeast,East,East,North,East,Northeast,West,North,North,Northeast,East,Northeast,East,East,East,Northwest,West,East,West,North,Northeast,Northeast,West,East,West,East,Northeast,Northeast,North,West,Southwest,Northeast,East,West,East,East,East,Southeast,Southeast
Saudi Arabia,Northeast,Northwest,West,East,Northwest,Southwest,West,West,Southwest,North,West,Southeast,Northwest,North,West,East,East,West,Northwest,Northwest,West,West,West,East,West,West,Northwest,Southwest,West,Southeast,West,East,Northwest,West,Southwest,East,Southwest,West,West,West,Southwest,West,Southwest,East,Southeast,Southeast,West,South,East,West,West,Northwest,West,West,Northwest,Northwest,Southwest,Northwest,South,West,West,West,West,West,Southwest,Southwest,Northwest,South,South,Southwest,Northwest,East,Northwest,Northwest,East,South,Southwest,West,North,Northwest,West,West,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,East,Northwest,Northwest,East,East,Northeast,North,Northwest,Northwest,Northwest,Northwest,West,East,Northwest,Northwest,Northeast,South,East,Northwest,Northeast,Northeast,East,Northwest,Northwest,South,West,West,Northwest,Northwest,Northwest,East,South,South,East,Southeast,West,West,East,West,South,West,East,Northwest,Northwest,East,Northwest,West,West,South,East,Southwest,East,East,Northwest,East,Southeast,West,West,West,East,Southeast,East,Northwest,East,Northwest,East,East,East,Northwest,West,East,Southwest,West,East,West,Northwest,West,West,East,Southwest,Northwest,Northeast,Southwest,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,#DIV/0!,West,Northwest,South,West,East,West,Northwest,Northwest,East,South,South,East,Southwest,West,Southeast,Southwest,West,Northwest,Northwest,Northwest,East,Northeast,South,East,East,West,East,East,West,West,Northwest,Northeast,West,East,West,Southwest,Northwest,East,Northwest,West,Southwest,Northeast,East,West,East,East,South,Southwest,South
Senegal,East,Northeast,Northeast,West,Northeast,Southeast,West,West,Southwest,Northeast,West,East,Northeast,East,West,East,East,West,Northeast,Northeast,West,East,West,East,Southwest,West,Northeast,Southeast,Southwest,East,West,East,Northeast,East,East,East,East,Northwest,West,West,East,East,Southwest,East,East,East,West,Southeast,West,West,Southeast,Northeast,West,West,Northeast,Northeast,Southeast,Northeast,East,West,West,West,East,West,Southeast,East,Northeast,Southeast,East,Southwest,North,West,Northeast,Northeast,West,Southeast,Southeast,Southwest,Northeast,Northeast,Southeast,Northeast,Northeast,Northwest,West,East,West,North,Southeast,South,West,West,West,East,Northeast,North,East,East,East,East,North,North,East,Northeast,West,East,North,East,East,East,West,Northeast,East,East,East,Northeast,East,Southeast,Southeast,East,Northeast,Northeast,Northeast,East,Southeast,Southeast,East,East,East,Northeast,West,Northeast,Southeast,West,East,Northeast,Northeast,East,Northeast,West,Northeast,Southeast,East,Southeast,West,East,Northeast,West,West,West,East,East,West,West,East,Northeast,East,Northeast,East,East,East,East,West,East,Southwest,West,East,West,Northeast,North,West,East,Southeast,Northeast,East,East,West,South,West,West,West,Northwest,West,West,Northeast,Southeast,East,#DIV/0!,Northeast,East,Southeast,East,West,Northeast,Northeast,East,East,Southeast,East,East,North,East,East,West,Northeast,Northeast,East,East,East,Southeast,East,East,East,West,West,West,Northeast,Northeast,East,West,West,West,East,Northeast,East,North,West,Southwest,East,West,West,East,West,East,Southeast,Southeast
Serbia,East,South,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,Northwest,East,West,Southeast,East,West,Northeast,West,West,Southwest,West,East,Southwest,West,West,South,Southwest,Southeast,West,Southeast,East,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,West,South,East,West,Southwest,West,West,West,Southeast,Northwest,South,Northwest,Southeast,West,West,Southwest,Southeast,West,South,Southeast,North,South,Southeast,West,Northwest,East,North,West,West,East,South,Southwest,East,Northwest,Southwest,West,South,Northwest,West,East,West,West,Southwest,Southwest,Southwest,West,West,East,Northwest,Northwest,East,Southeast,East,Southeast,West,West,Southeast,West,West,East,West,Southeast,East,South,East,South,Southeast,East,East,North,Southeast,South,Southwest,South,West,North,West,East,South,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,Southeast,West,East,Northeast,West,East,Southwest,West,Southwest,South,East,South,East,East,Northwest,Southeast,Southeast,West,Southwest,South,East,Southeast,East,South,East,Northwest,Southeast,East,East,Southeast,West,East,Southwest,Southwest,East,Southwest,North,West,West,Southeast,South,Northeast,East,South,West,Southwest,West,West,West,West,West,East,West,South,Southeast,Southwest,#DIV/0!,Southeast,Southwest,Southeast,West,North,West,East,Southeast,South,East,South,West,Southeast,South,Southwest,North,West,Southeast,East,East,South,East,Southeast,Southwest,East,East,West,Southwest,East,East,West,East,West,South,Northeast,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
Seychelles,North,Northwest,Northwest,East,Northwest,West,West,West,West,North,West,East,Northwest,North,West,North,Northeast,West,Northwest,Northwest,West,West,West,Northeast,West,West,Northwest,Southwest,West,East,West,East,Northwest,West,West,East,West,West,West,West,West,Northwest,West,Northeast,East,East,West,Southwest,East,West,West,Northwest,West,West,Northwest,Northwest,West,Northwest,Northwest,West,West,West,Northwest,West,West,Northwest,Northwest,Southwest,Northwest,West,Northwest,East,Northwest,Northwest,East,South,West,West,North,Northwest,West,Northwest,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,Northeast,Northwest,Northwest,Northeast,East,North,North,Northwest,Northwest,Northwest,Northwest,West,Northeast,Northwest,Northwest,North,West,East,Northwest,North,Northeast,Northeast,Northwest,Northwest,Southwest,West,Northwest,Northwest,Northwest,Northwest,Northeast,Southwest,West,East,Northeast,West,Northwest,East,West,South,West,East,Northwest,Northwest,Northeast,Northwest,West,Northwest,Southwest,Northeast,Southwest,East,Northeast,Northwest,East,East,West,Northwest,West,East,East,Northeast,Northwest,East,Northwest,North,North,East,Northwest,West,East,West,West,East,East,Northwest,Northwest,West,North,West,Northwest,Northeast,West,West,West,West,West,West,Northwest,West,East,Northwest,West,North,West,Northwest,#DIV/0!,West,East,West,Northwest,Northwest,East,Northwest,Southwest,Northeast,Northwest,Northwest,Northeast,Northwest,West,Northwest,Northwest,Northwest,Northeast,North,West,Northeast,East,West,East,East,West,Northwest,Northwest,North,West,East,West,West,Northwest,North,Northwest,West,West,North,East,West,East,East,North,West,Southwest
Sierra Leone,East,Northeast,Northeast,West,North,Southeast,West,West,Southwest,Northeast,West,East,Northeast,Northeast,West,East,East,West,Northeast,North,West,East,Northwest,East,Southwest,West,Northeast,Southeast,Southwest,East,West,East,Northeast,East,East,East,East,Northwest,Northwest,West,East,East,Southwest,East,East,East,West,East,West,West,East,Northeast,West,West,Northeast,Northeast,East,Northeast,East,West,West,West,Northeast,West,East,East,Northeast,Southeast,East,Southwest,North,West,Northeast,North,West,Southeast,East,Northwest,Northeast,Northeast,East,North,Northeast,Northwest,West,East,West,North,Northeast,Northwest,West,West,West,East,Northeast,North,East,East,East,Northeast,North,North,Northeast,Northeast,West,East,North,Northeast,Northeast,East,West,Northeast,East,East,East,Northeast,Northeast,Southeast,Southeast,Northeast,Northeast,Northeast,Northeast,East,Southeast,Southeast,East,East,Northeast,Northeast,West,North,Southeast,West,East,Northeast,Northeast,East,Northeast,West,North,Southeast,East,Southeast,East,East,North,East,West,West,Northeast,East,West,East,East,Northeast,East,North,East,East,East,Northeast,West,East,Southwest,West,East,West,Northeast,North,West,East,East,Northeast,Northeast,East,West,South,West,West,West,Northwest,West,West,Northeast,Southeast,East,Northwest,Northeast,East,#DIV/0!,East,West,Northeast,Northeast,East,East,Southeast,East,East,North,East,East,West,Northeast,Northeast,Northeast,East,East,East,East,East,East,West,West,West,Northeast,Northeast,Northeast,West,West,West,East,Northeast,East,North,West,Southwest,Northeast,East,West,East,West,East,Southeast,Southeast
Singapore,Northwest,Northwest,West,East,West,West,West,West,West,Northwest,West,Southeast,Northwest,Northwest,East,Northwest,Northwest,West,Northwest,Northwest,East,West,West,Northwest,West,West,Northwest,West,West,West,West,East,Northwest,West,West,North,West,East,West,East,West,West,West,North,South,Southwest,West,West,East,East,West,Northwest,East,West,Northwest,Northwest,West,Northwest,West,West,West,East,West,East,West,West,Northwest,West,West,West,Northwest,East,Northwest,Northwest,East,Southwest,West,West,Northwest,Northwest,West,West,Northwest,Northwest,West,East,East,Northwest,West,West,West,West,East,Northeast,Northwest,Northwest,Northwest,East,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,East,Northeast,Northwest,Northwest,Northwest,West,East,Northwest,Northwest,Northwest,North,Northwest,Northwest,West,West,West,Northwest,Northwest,Northwest,Northeast,West,West,Northwest,West,West,West,East,West,Southwest,East,East,Northwest,Northwest,North,Northwest,West,West,West,North,West,East,Northwest,Northwest,East,Southeast,East,West,West,East,Southeast,Northeast,Northwest,East,Northwest,Northwest,Northwest,East,Northwest,East,East,West,West,Northeast,East,Northwest,West,West,Northwest,West,Northwest,North,West,West,West,West,West,West,West,West,East,Northwest,West,West,West,Northwest,West,West,#DIV/0!,West,Northwest,Northwest,East,West,West,Northeast,West,West,West,West,West,Northwest,Northwest,Northwest,Northeast,Northwest,West,North,Southeast,West,East,East,West,West,Northwest,Northwest,West,East,West,West,Northwest,Northwest,Northwest,East,West,Northwest,East,West,North,East,West,West,West
Sint Maarten,East,East,East,West,East,East,North,Southeast,South,East,Southwest,West,East,East,Northwest,East,East,Southeast,East,Northeast,West,East,North,East,South,Southwest,East,Southeast,South,East,West,East,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,Southwest,East,West,West,East,East,West,Southwest,East,East,East,Northeast,East,Southeast,West,Southwest,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,North,South,West,West,Northeast,East,East,South,West,West,East,East,Northeast,East,East,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,East,Northeast,Northeast,East,East,East,East,East,East,East,West,East,East,West,West,East,East,East,East,Southeast,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,Southwest,West,South,Southwest,West,Southwest,East,East,West,East,East,East,East,East,Southeast,Southeast,South,Southeast,North,North,South,West,East,East,East,East,East,East,East,East,#DIV/0!,East,East,West,East,Southeast,West,East,East,East,East,Southeast,Northeast,East,East,West,East,East,East,West,East,West,West,South,East,East,East,Northwest,West,West,East,East,East,Northeast,Northwest,South,East,West,South,East,West,East,East,East
Slovakia,East,South,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,West,East,West,Southeast,East,Southwest,Northeast,West,West,Southwest,West,East,Southwest,Southwest,Southwest,South,Southwest,Southeast,West,Southeast,Southeast,Southwest,South,Southeast,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,South,West,West,Southwest,Southwest,West,West,Southeast,West,South,Northwest,Southeast,West,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,West,Southwest,Southwest,South,West,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,South,Northwest,Southeast,Southeast,Southeast,Southeast,West,West,Southeast,Southwest,West,East,West,Southeast,East,South,East,South,Southeast,East,East,Northeast,Southeast,South,Southwest,South,West,Northeast,West,East,South,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,Southeast,West,East,East,West,East,South,West,Southwest,South,East,South,East,East,West,Southeast,Southeast,West,South,South,East,Southeast,East,South,East,Northwest,Southeast,East,East,Southeast,West,Southeast,Southwest,Southwest,East,Southwest,North,West,West,Southeast,South,Southeast,East,South,West,South,West,Southwest,West,West,Southwest,East,Southwest,South,Southeast,Southwest,South,Southeast,Southwest,Southeast,West,#DIV/0!,Southwest,Southeast,Southeast,South,East,South,West,Southeast,South,Southwest,North,West,Southeast,East,East,South,East,Southeast,Southwest,East,Southeast,Southwest,Southwest,Southeast,East,West,East,West,South,East,Southeast,West,West,Southwest,East,Southeast,Southwest,East,East,Southeast,South,South
Slovenia,East,Southeast,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,North,East,West,Southeast,East,Southwest,Northeast,West,West,South,West,East,Southwest,West,Southeast,South,Southwest,Southeast,West,Southeast,East,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,Southwest,South,West,West,Southeast,North,South,Northwest,Southeast,West,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,Northwest,Southwest,Southwest,Southeast,Northwest,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,East,Northwest,East,Southeast,East,Southeast,West,West,Southeast,Southwest,West,East,West,Southeast,East,Southeast,East,Southeast,Southeast,East,East,Northeast,Southeast,South,Southwest,South,West,Northeast,West,East,Southeast,South,Southeast,Southeast,Southwest,South,East,Southwest,Southeast,West,East,East,West,East,Southeast,West,Southwest,South,East,South,East,East,Northwest,Southeast,Southeast,West,South,South,East,Southeast,East,Southeast,East,Northwest,Southeast,East,East,Southeast,West,East,Southwest,Southwest,East,Southwest,Northeast,West,West,Southeast,South,East,East,South,West,South,West,Southwest,West,West,Southwest,East,Southwest,South,Southeast,Southwest,East,Southeast,Southwest,Southeast,West,Northeast,#DIV/0!,East,Southeast,South,East,Southeast,West,Southeast,Southeast,Southwest,North,West,Southeast,East,East,South,East,Southeast,South,East,East,Southwest,Southwest,East,East,West,East,West,South,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
Solomon Islands,Northwest,West,West,East,West,West,East,East,East,Northwest,East,Southwest,West,Northwest,East,West,Northwest,East,Northwest,West,East,West,East,Northwest,East,East,West,West,East,West,East,West,West,West,West,West,West,Northeast,East,East,West,West,East,Northwest,West,West,East,West,East,East,West,West,East,East,West,West,West,Northwest,West,East,East,East,West,East,West,West,Northwest,West,West,East,Northwest,East,Northwest,West,East,Southwest,West,West,Northwest,West,West,West,West,Northeast,East,Northwest,East,West,West,West,East,East,East,Northwest,West,Northwest,West,West,West,West,West,West,West,West,East,Northwest,West,West,Northwest,West,East,West,West,Northwest,Northwest,Northwest,West,West,West,West,West,Northwest,West,Northwest,West,West,West,West,West,West,Northeast,West,West,East,Northwest,Northwest,West,Northwest,West,East,West,West,Northwest,West,Northeast,Northwest,West,Southeast,Southeast,East,West,West,East,South,Northwest,West,Northwest,Northwest,West,Northwest,Northwest,West,East,West,East,East,Northwest,East,Northwest,West,East,West,West,West,Northwest,West,East,West,East,East,East,East,East,East,West,West,West,West,West,West,West,West,East,Northwest,West,#DIV/0!,West,West,Northwest,West,West,West,West,East,Northwest,West,West,Northwest,Northwest,West,Northwest,West,West,East,Southeast,East,West,West,Northwest,East,East,East,West,Northwest,West,West,Northeast,East,Northwest,Southeast,East,Northwest,East,West,West,West
